Timestamp,"How did your conversation go?  Was it serious? Lighthearted? Humorous, or fun? Were you talking with friends, or family members, or acquaintances? ",How would you change this app to create the kind of conversation you want to have? ,Did something break? ,Did you experience any glitches with the app?,,"If you are a UW student using this app for a class, please enter your student ID",What events or questions did you find sparked the most conversation? Why? Where did those questions take your conversation? 
11/22/2017 22:34:18,"The conversations went pretty well! I did it with two of my friends, Anika and Delenn, because I'm not going home for the holidays. From my observation, it seemed like they definitely believed in Climate Change but didn't always have facts to back it up, kind of just a general distaste for pollution/coal. It was lighthearted but also serious in the sense that we all really thought about the questions but there wasn't really any arguing because we all agreed. I constantly get into fights about climate change with my dad, who doesn't believe in climate change, despite having his masters in ocean geology. I would love to use this tool with him because I feel like it would moderate conversations and keep us from just yelling at each other. My friends were also asking a lot of questions about solar and wind power, as well as coal use in the US because they genuinely didn't know, so it definitely sparked an interest on their part by allowing them to figure out what they don't know. I really enjoyed how the game moderated the conversation and also presenting new facts to discuss.","I think the ""when so and so was 15, this happened"" is a little unnecessary. Maybe because all 3 of us are the same age, its less effective. I also think the UI could be a little more exciting, maybe add more graphics. I think turning this game into a physical card game in addition to the app, like cards against humanity, would make it more interactive for everybody as well, rather than us passing around a computer. ",,no,,1667348,"The question about rivers as people. None of us knew about this development and definitely saw it as a very interesting take on climate change. The lawmakers were also totally right; rivers are a life source for so many people, so why not treat them as life? But treating corporations as people is wrong because most corporations are not a life source to humans. Also, the proposition of paying for CO2 pollution sparked a lot of conversation. My friend, who is a global health major, was talking about how early developing countries have the highest rate of pollution related sickness due to this dependency of coal - paying for CO2 may make other energies cheaper, and the US paying for all of its pollution could go towards supporting other countries in reaching clean energy while also repairing the environment. I didn't expect my friends to be so passionate about climate change."
11/23/2017 18:20:28,"	I had a conversation with my parents and my brother. It was mostly light hearted, they are all scientists and engineers, so they knew a lot about the subjects already. We talked a lot about the issues in the current administration as well as the issues we have had the most experience with in our own lives. There were times when we got serious, or rather, irritated when talking about local and national issues with climate change. 
	We talked a lot about how we see things progressing in the future, and our issues with oversimplification of problems. Like my brother, who is a civil engineer with a focus on water management, talked about how dams act as large settling tanks so huge silt deposits build up meaning that they do not last that long. This is an issue because that means that hydroelectricity is something that has to be updated a lot and the environmental costs of actually building dams is not talked about
","	We noticed that a lot of these questions are not open ended, they can be quickly answered and don’t lead to much talking. There were many times where we just said yes or no and then moved on. We thought it would be more exciting to use questions that spark debate, try to divide people so they are forced to talk about uncomfortable things. My family agreed that just talking about things everyone agrees on is not very helpful.
	However, my family also noted that not everyone lives in a scientific based household that is always talking about climate change and other issues. In this case there may be more of a case to add more information to these questions, give more background and facts to sway skeptical people’s minds. Instead of saying, “What do you think could be some reasons for ____.”, say “What do you think of the following reasons? Do they seem viable?”. We also thought that the use of dates in relation to people’s ages was forced, we understood that this was in order to connect with the audience, but it just sounds repetitive. Perhaps instead of using age, compare it with other world events during the year you are talking about. ",,"	We did not experience any glitches with the app, though when it was finished it didn’t say anything and just sent us back to the front page (where you enter names and birth years) with a statement saying that no game data could be found. I’m not sure if this is intentional or something to worry about but it did seem a little odd. ",,1269708,"	
        The questions we talked most about were the ones that related the most to our lives. We talked about how my mother was at Washington State University when Mt. St. Helen’s erupted. She was basically trapped in her apartment for weeks due to the amount of ash on the roads. She remembers playing cribbage for days on end and the tragedy when the whole school ran out of beer. We also talked about the summer of 2006 in Europe when we were in France, during the heat wave. My brother went biking and ended up getting heat exhaustion.
	These questions sparked a lot of conversation and reminiscing on our childhoods and holidays. Mostly we laughed about the ridiculous nature of some of the questions. The one that talked about releasing ash to cool the world. My mom, who taught biology pointed out that this would prevent plants from photosynthesizing efficiently. There were also other questions to which my mom quickly replied, “Why aren’t we just planting more trees!”. "
11/23/2017 20:57:14,"I was with a group of friends and families while playing the Climate Conversation. The conversation was ok, nothing too serious. We went through the scenarios and answered the questions provided. The conversation didn't really start until we reached a familiar event that happened to one of us before. ","You should add details about the events alongside with the questions so that people could have a more in-deep story about the events. Start from general questions like do you know what causes flooding or drought to raise people attraction to the story then add on to the stories. May be add some pictures or videos about the events. Also, the question box is quite small, it is kinda boring to read a paragraph of small letters on the phone without any animations. ",,"When I tried to open the website on Safari, it won't open the conversation. The app keeps crashing on my iPhone. ",,1630169,"The event that sparked the most was the worst drought in California recently, happen at the end of the conversation. My families all live in California and we well understand the struggle of water shortage. We remember the big water bills, all the rules about water usage and the dry canal near our houses. "
11/23/2017 22:18:53,"I was talking with family members: my little sister Maya, my dad Alex and mom Abeer.  The conversation was actually quite enjoyable and educational, it was fun learning about issues and stances taken towards climate issues during different times and at specific years of our own lives.  My mom remembered when they banned CFCs and recalled her parents' reaction to climate science and climate change.  We enjoyed debating a little bit, but were on the same side most of the time!",This app DID create the kind of conversation I hoped to have.,,"Nope, it just didn't exactly tell us that the game ended; it just sort of took us back to the main page and said nothing - which kind of confused us for a second before realizing that that was the sign that it had ended.",,1775249,"We spoke mostly about our own experiences and observations of the environment and climate, and how they have changed over time.  My dad said that he has noticed a noticeabley less amount of precipitation over Jordan (Childhood country) in recent years than when he was a child.  Both he and my mother remember a time when snowfall was a common occurrence during the winter there, while it is a rare occurrence today.  As a child, my mother has experienced far more snowstorms and cold weather than my sister.  I said that for a number of recent years we have been experiencing much more unstable weather than before - with hurricanes and earthquakes becoming more and more frequently occurring. "
11/23/2017 23:54:20,"Over the holiday break, I convinced my family to try the app on the evening of Thanksgiving. I interviewed my father (Jon, 54), mother (Melonie, 54), and brother (Luke, 21). I have ten of my fifteen credits dedicated to the topic of climate change (ATM S 111 and ENGL 199) so this is a topic that I feel strongly about even though my family isn't exposed to it in the slightest way. 

I was tentative going into the conversation because I know that my family doesn't have the same views on science that I do; ""Christians tend to deny climate change and accept that everything happens for a reason."" I was pleasantly surprised to find that the questions asked steered the conversation in a gentle and unbiased way. It was easier for my family to answer questions honestly rather than being wary about their answer being pushed in one direction. It provided a smooth platform for me to interject and offer a different solution, fact, or opinion that I've learned during my education here at UW. 

Everyone in my family tends to think that what ever they know is true no matter what; it's their way or the highway. Because of this, the conversation was more serious because with every answer they provided, they also gave an explanation for why they were right (which was rare). I had to act as a mediator at times because they would interrupt each other and bicker when it wasn't their turn to answer a question. It was difficult to not become aggravated at times because the knowledge and awareness of climate change in my family was so narrow. I had to remind myself that this is a big issue when talking about climate change, though, and accept that just because they don't agree with me now doesn't mean that they can't grow and learn, too.","I think the app is really creative and cool. It's important to start conversation about climate change so we can come to a solution (eventually) for this global issue.

If I could change anything, it would be to add possible talking points for each question. There was one that asked ""what would you do to fix _____?"" My mother could only come up with one possible solution so I took the time to Google a few others to keep the conversation going. If there was a bullet list of other solutions and their implications, I think it would be useful to help guide the conversations if it goes dry.

Other than that, I wouldn't change a thing!",,"There was one time that I clicked the next button once but I think it skipped twice. Also, when the round is over it didn't say anything to inform me that the conversation was over and it ended abruptly... maybe including an ending page to wrap the simulation up would be helpful! ",,1729638,"Without a doubt, I found that the questions that sparked the most conversation were ones involving politics. Everyone in my family is a hardcore conservative so it's easy to see why they don't always agree with me (raised conservative, but changing since in college). It was interesting to see even when a question wasn't politically stimulated, they would somehow still bring a political viewpoint into play.

My mother was the only one who explicitly stated that the reasoning behind most of her answers was because she identifies with the Republican Party which leans one way. My father, on the other hand, was adamant that what ever answer he gave was the right one. Before we even started the conversation, he prefaced the discussion with the claim that ""if we would just plant more trees, the earth would stop 'warming.'"" It's hard to convince someone that was raised a certain way and learned the most about climate change when he was younger (when circumstances and knowledge were vastly different) that they're not up-to-date with new information. My brother's answers were the most mixed because he personally is Republican but his girlfriend is a Democrat who has created her scientific portfolio on global warming. When I provided information that I gained over the past few moths, he was the most willing to understand and reason for a compromise between our two viewpoints.

I think these questions on scientific policy over the years sparked the most conversation because it defies what they base their political ideology on and makes them want to defend their identity. This emphasizes the essence of the issues seen when discussing to climate change; it doesn't depend on the facts presented, it depends on what one personally wants to believe. When I told my mom that the US is one of the highest emitters of CO2, she outright didn't believe me because she doesn't see how you can track CO2 back to a country... "
11/24/2017 0:50:02,I was talking with family and it started out lighthearted but got more deep and sometimes a little sad.,We varied off topic many times to other issues so it was open enough where it was easy to talk about the other things that were prevalent on our minds. Some questions were too “easy” like have you ever experienced an earthquake or whatever where it was like: y/n and no further discussion. There was a couple more questions that were too close ended.,,Sometimes I would click the next button and I wouldn’t realize that it had actually worked so I’d click it again and then I’d realize that I had accidentally skipped a question. Maybe change it so ta more easy to tell that the question had changed ,,1763516,"The mt St. Helens eruption was talked about bcuz he remembered vividly what it was like emerging from his dorm and how it felt like it was a whole different world. Also, the drought thing in California was talked about and since my uncle lives in California he had lots of information. He had nice suggestions on how water allotment could be changed. Although families were using sanctioned water, homes are only using a little sliver of the water when compared to like farming. However, farmers use water for food so it’s worth it. Drought resistant crops should be prioritized over crops such as almonds tho. "
11/24/2017 11:04:42,"I played the ClimateConversations game with my sister, mom, and dad. We all have very differing views on politics, with my sister being liberal, my mom and I being moderately conservative, and my dad being a conservative. The conversation was fun but also serious, although it did not get heated. Since the questions were fairly direct to a specific individual, it seemed as if the other players “tuned out” for the questions not directed at them. My dad was incredibly educated on the topics mentioned from years past and my sister did not know many of the current environmental issues.

My sister does not like to argue about political issues with our family, so she never responded to my dad’s comments on being semi-skeptical of the severity of man-made climate change. I could tell she disagreed, though, and wish she would have spoken up. My sister, mom, and dad all agreed that humans should do what we can do help the environment, no matter the severity of manmade climate change!","I think the app would benefit from having some debate-styled questions related to a lot of the problems we see today. People like to know about the tangible issues that they face each and every day. 

I think there should be an education aspect to the app, as well. Many of the questions revolved around knowing about something or remembering an event, but there was no information if one of the players didn't have any knowledge. 

Additionally, I think having more open-ended questions about the severity of climate change, where people think it comes from the most, and anything that shares their knowledge would help the game engage in more conversation. If the game allowed two people to answer the question and incite some back and forth, I think it would do a lot of good. I also think having an answer box to take notes or submit some immediate responses to the questions would be good.

Lastly, I wasn't really sure how to use the app based on its interface. I didn't know how many questions were left and didn't see anything on the screen other than the questions. I think a menu would help. ",,"Yes, it glitched out after the last question! It went back to the name and birthdate screen.",,1635914,"The questions that sparked the most interest were the ones that didn’t have much of an age requirement on them. Obviously, my sister wasn’t alive during most of the events mentioned during my dad’s questions, so it was hard for her to relate or discuss those issues. On the flip side, questions about recent events or general thoughts on climate change sparked the most conversation. 

Both my dad and sister mentioned the difficulty of enacting positive environmental policies that don’t harm a certain group of people. In fact, I think that’s what makes environmental policy so incredibly polarizing. Additionally, they both mentioned how difficult it is to balance the economic needs through the environment and personal needs. While my mom and dad took a more limited government approach to environmental issues, my sister lobbied for more restrictions, especially when it came to the question on California droughts.

My dad, sister, mom, and I all talked about how we thought we had seen ""warming"" in our lifetimes. "
11/24/2017 12:43:46,"Overall, I would say that the conversation was not as productive as it could have been. This was because my family members are not very knowledgeable about the science of global warming. This lack of knowledge made the whole conversation surface level, because, even when I tried to explain topics, like natural climate cycles, my family members would not easily abandon their misconceptions.

Some of these misconceptions included the beliefs that global warming would lead to more hurricanes, or that the recent drought in California was caused by global warming. My family members believe in climate change, but they tend to take a doomsday-like, overdramatic stance, taking everything they hear in the media as truth. 	

Regardless of our disagreements, the conversation was respectful, and we were all in agreement over basic claims, such as the importance of addressing global warming as a society.
","
One addition that would make a meaningful contribution to the app would be the inclusion of more concrete data within or after the questions. When talking with people who don’t know the actual science of climate change, it can be hard to have a meaningful discussion. This is because everything is just opinion when there aren’t facts to base your answers on. If the app provided us with basic information that explained accepted facts about climate change, then it would be easier to discuss their implications. 

Some data that might be included is the hockey stick graph and the keeling curve. These two pieces of data show a correlation between CO2 emissions and temperature. This would be helpful to establish the facts of global warming.
",,,,1636063,"The questions about water usage and drought were particularly effective in sparking conversation because my family lives in California. With the recent drought, the state of California has experienced our future climate, with dry regions getting drier as a result of global warming. This topic brought up the questions of water management and the possibility of moving more agriculture away from California to regions with more precipitation.

Another topic we discussed was the amount of waste our society produces. We all agreed that our culture of mindless consumerism should change to focus on sustainability. Citing the recent switch from plastic bags to paper bags, my Dad argued that it is possible to shift the popular mindset about environmental issues through economic incentives. We also all agreed that the government should take a more active role in regulation of emissions. 
"
11/24/2017 13:40:44,"Some friends of mine and myself participated in Climate Conversations app. I would say that we usually talk about the environment when we are together and share ideas that we may have heard or learned about recently in life. So we are all very comfortable talking with each other about the topic of climate change. Our overall conversations about climate change can get very serious. But I think that our conversations seem to even get very broad in topics since most of us have only taken a course or two on climate change. Climate Conversations did help take the conversation out of a broad range, so that we could talk about more specific happenings, how we would feel about different scenarios, and creatively think more actively. Which did add a different element than our normal conversations. ",It would be fun to be able to pick a region or topic that we would like to discuss specifically.,,We experienced quite a bit. It kept taking us back to the main page and saying that there was no progress found. ,,1771116,"I found that the questions that asked us about our personal experiences with the weather in our hometowns during the same years of hotter than normal environments. It did spark a lot of laughter about things we did to stay cool. I think that we all came to the conclusion that none or us, nor do we know anyone personally that has been affected my extreme heat. But that it can be extremely dangerous. Especially, because most of us have never had air conditioning in Seattle and all came from parts of the country where every home has central air installed. 

Another topic that we all felt particulary keen to talk about for a while was our connection to different ecosystems and natural places. I would say that we all, coming from cities, have similar experiences of connecting with nature for the first time since childhood by growing up and going on hikes n such. And that when we connected back with nature, that we were about to learn self care and from there it extended to care for our surrounding environments. "
11/24/2017 15:03:18,"Since the conversation was going on during the holiday, the tone of the conversation was kind of relaxable but mixed with some seriousness when touching some important topics. I was talking with my roommates who is all current university students. Our responses all come both from our educational background and from the knowledge that we exchanged during that conversation.","I think the questions in this app are involved and ponderable. I think if possible, the app can engage with some game strategies and add some prizes for winners or person who contribute the most. This might be hard since there is no single correct answer for any climate changes topics in this app, in this way, I recommend engaging some animation and virtual roles might be helpful.",,"I did not experience any glitch, everything went smoothly and the name shown in the questions matched with the names we provided.",,1539609,"There are some topics that sparked the opinions. The most compelling one should be the inquiry on whether or not the countries or individuals who created pollution should pay for it. 
Until now, we seldom hear countries charge their citizens for polluting the air. Maybe this will be done in the future, but we thought there are several burdens: firstly, new technical have to be invented to record how much pollution every individual creates everyday, or the charge cannot be fairly distributed. secondly, even though in the future countries are able to track how much pollution its citizens emit per day, it is hard to reach the consensus on how much a country as a whole should pay the world on pollution. thirdly, if developing countries is going to take up the majority of the air pollutions in the world, how can they afford the big portion of the pie of charge compared to that of the developed countries who pollute little in the future due to their engagement with high tech will be another complicate question.
There are also some other topics we enthusiastically discussed through the conversation. For example, recalling the storm experienced in our lives. One of my roommates from Hong Kong just experienced a hurricane back home during the last summer break. she recalled that even though the hurricane was pretty strong and brought heavy rain into the city, all the major operations of the city were keeping operating. For example, the airport was not seriously affected by the bad weather. I think all these are benefitted from the effective government management and forecast. 
The conversation went though many highlights. After the conversation, we concluded that climate change is like an ecosystem, in which a small change in one part can affect another. We are all living in this ecosystem, no one can be discharged from pollution and every one can be a contributor by contributing to the ecosystem and the climate.

"
11/24/2017 17:26:07,"It was serious and humorous, and I talked to family members ",I feel like this app is set up quite nicely except if you expect students to writer about certain questions make it easier for students to re-access the questions. ,,"The app said ""No game progress was found"" after I finished all three rounds.  ",,1733195,The events that sparked the most conversation were the questions about superfund sites. My family grew up next to the Hanford nuclear clean up planet and my parents worked for companies that aided the clean up process so they were very knowledgable about those topics. 
11/24/2017 17:47:33,"The conversation was between me and my fraternity brothers as we spent Thanksgiving break together. As much as I believed it to be short, quick answers that had little thought or specifics involved, I was wrong. The conversations for each round were very serious as my brothers evidently take Climate Change to heart and have quite specific opinions on each controversial issue in relation to it. 

There were times that we disagreed, yet kept it at a conversation, not argumentative, level. That was expected, though, and I was super excited to see how engaged all of my brothers got while different questions were proposed. It is nice to know that there are people who care as much as I do when it comes to saving our planet, or at least impacting it, before our death. Ultimately it was nice to have this conversation with my brothers and see where more of their morals and values are!","What would be cool with this app is if we could do a scenario-path every now and then. So, basically what you would do is give a scenario that is controversial related to climate change and then two different paths that all of us playing the game could choose from. Each player could choose a different path and then it leads to another two options and so on and so forth until only one person ultimately wins as the other players chose the wrong path/decision. This would be really fun because it would get each person to critically think about their decision on a real-life basis and show what the consequences could be if we chose the wrong option.

Besides that idea though I really enjoyed the questions that each scenario asked my group and it was good, like I mentioned above, to see where my friends are at related to climate change. If this was an app on the phone too, like the app store, it could potentially be even more convenient and you could play it while standing in line at an amusement park or something to pass the time! ",,No.,,1736263,"The first question that was asked was very insightful for me and my friends as it asked what is harder to handle: a major flooding problem or a long drought. To us, we all agreed that a long drought would be much more difficult to handle because with major flooding we can invest in ways to keep the flooding to somewhat of a minimum while with a long drought we can't essentially add more rain/acquire more water, while with a flooding problem we will at least have a ton of excess water which we can use to our advantage. It also brought us to the time that my hometown Huntington Beach just recently got out of a two year drought which was a terrible time as we could barely water our lawns and the shower times had to be very efficient.

The question that was related to how to distribute water during a drought was also quite eye-opening with my group. I would not have thought of the strategies that my friend Frank Poon came up with. He mentioned that we should use the cleanest of waters for the functions that will result in human survival, while filtered/dirtier water from the drought can be allocated to the technologies or things that do not need the cleanest of waters at all times. This led us to think and research about how important it is to have fully filtered water to water plants, as many of the cleanest waters from the drought can be given to the large city people while the rest can be distributed to agricultural purposes to ensure we still have enough food.

Finally, after a few rounds, it brought us to a question about paying for pollution. To combat this we felt it was best to tax companies based on how much they pollute as this will be the easiest statistic to get logistics on, compared to making individual humans pay to pollute (this would be way too difficult to regulate). Many people, I feel, would answer yes and leave it. We must look at this with a clear mind and realize it would be impossible to keep track of everyone or every companies personal pollution amount, so we could only keep doing this on an industrial basis in my opinion."
11/24/2017 17:56:47,"The conversations were often lighthearted. As I told the different scenarios my family would often joke around about how old certain family members were. In addition to this, my family would joke around and say things like ""Climate change doesn't exist"" and that climate change is just a joke so the government can make more money. 
Aside from all the jokes being told, with each new scenario I asked, I noticed that my family was giving honest answers and that new people were gathering around to listen and add their opinion too. In the end, I was only interviewing 3 people but about 10 people were sitting around the conversation adding in their opinion too. 
Often times the answers were very honest and people disagreed with each other in what they thought would be the best answer. For example the app asked if the rights of people and bodies of water are the same as the rights of people and business. Many people debated whether those two should be iterated the dame or not. ",I believe this app is actually set up pretty well. I think it would be better if the events mostly stayed within the youngest participants age range just so that the conversation doesn't dwell between the group. I also think you should show how many conversations are left to go. ,,"At the end of all three rounds the game said ""No game progress found"" ",,1733195 (re-doing it to make it more thorough) ,"I found that questions asking about superfund projects and government aided projects sparked the most conversation. My family grew up in Richland Washington which is the city closest to the Hanford nuclear plant (a superfund project). My family was very knowledgable about this topic and were very interested in the superfund projects. 
While some topics were hard to talk about like the the Nixon era since not every person in the room was alive during this, the superfund projects sparked conversations even outside of the prompted question. Both of my parents work for companies that work on cleaning top the nuclear site, so they were both very passionate about projects similar to theirs. They also had very strong opinions about how people should go about government aided projects. "
11/24/2017 18:29:12,"The conversation went smoothly, though the flow seemed broken up by a few odd questions. It was casual but all participants treated it seriously. I was speaking with my immediate family, all of whom look at climate science and the environment with great importance. For the most part, we agree that the biggest differences need to come from regulations on carbon emissions, not just in our country but around the globe. Though individuals matter too, and we discussed some ways that we could minimize our own family's impact, such as eating less meat.
This is also mostly due to coincidence, but two pairs of participants were born on the same year. Some of the questions were duplicates between two attempts at using the site.","Many of the questions were very brief, and could be answered with a simple yes/no. For instance, the question, ""what sort of negative effects come from working in a coal mine"", doesn't leave much room for opinion-based discussion. I feel that the question could be changed to something like, ""does the energy gained from coal mining make up for the negative effects on the miners?"" This would encourage interpretation on the relationship between immediate and distant consequences.",,Did not experience any glitches.,,1721301,"The questions that sparked the most conversation were the ones addressing the relationships and responsibilities of various countries. They expand the scope of the conversation to more than just the local area. A large portion of the conversation was centered on the economical impacts of changing regulations on developing countries. Specifically, what would happen if all countries had the same taxation and regulations on carbon emissions. The general consensus was that while enforcing all countries equally is the most fair, it's not the most achievable goal, especially with large cultural differences regarding climate science internationally.
We also spoke quite a bit about the topic on heat waves. Since parts of my family come from Arizona and the Eastern Europe, there were lots of examples of heat waves or consistent heat, and how they individually dealt with it.
"
11/24/2017 22:27:26,"The conversation went fairly well. I talked with my parents and grandparents who all have fairly similar viewpoints on the topic of global warming, so there was unison amongst the group. All participants seemed to be knowledgable and passionate about the subject matter. Despite the fact that I am currently getting educated in a class specifically relating to the subject, I felt my family was impressively educated in the effects of global warming throughout the world.

The conversion was mostly serious, because my family members felt very passionate about the questions being asked. I come from a family that cares a lot about the environment and the impact humans have on keeping the environment stable. For example, my dad drives an electric car, and my mom refuses to take a shower that's longer than five minutes. This passion carried throughout the conversation making it interesting and insightful. ","I think it would be cool to allow people who use this app to choose from different topics of conversation. The usage of birth years is really smart, but once you plug that in, I think it would be beneficial to have a variety of topics to choose from such as sea level rise, or endangered species, or natural deserters, etc. This way people can talk about things they are either more passionate or knowledgable about. For example, my dad could go on and on about sea level rise, so if he had the option to have a whole conversation on that subject, he would probably be more excited than having to talk about random subjects.

This also would benefit people that are trying to educate others in a specific area. For example my grandpa is very educated in some aspects of global warming, but can be very illogical in other parts. Having the opportunity to pick a specific category could give someone the chance to pick a topic my grandpa is less informed in, and then educate in him that specific area.  

One other thing I would change is the vagueness of some of the questions. Questions like ""what's it like?"" can be interpreted in a lot of different ways and lead to some confusion amongst the group. More directional questions would be very beneficial. ",,"No, I did not experience any glitches with the app.",,1736280,"The questions that sparked the most conversation were ones that pertained to specific, well-known incidences that took place during their lifetime. For example, my grandma specifically remembered seeing a picture of the world for the first time. She went on to tell us how she felt seeing it and how much life has changed with the abundance of technology that we have access to. My dad also went into detail about how is company and others like his around the world have created programs for helping people when they're homes or businesses are destroyed by natural disasters.

These type of questions that allowed the participants to find relatable experiences are what made for the most interesting type of conversations. My family members got excited when they were able to talk about a memory or a past experience that related to the question. They also really liked questions that made them think about things in a way they never had before. For example, the question about giving a river or a corporation the same rights as a person sparked their interest because it was something they had never thought of before. "
11/25/2017 15:35:51,"The conversation went well -- I was talking with my mom and two of my friends. All of them are believers in climate change and the fact that humans have a role in climate change, but they were also not extremely knowledgeable about the topic in general. A lot of the questions confused them and led me to have to explain a lot of the concepts I learned in class, but once I explained, they understood the questions and were able to answer it. The main thing that I realized from the conversation was how all three of them, mainly my mom, continued to answer in a way that addressed their concern for climate change, although they weren't too knowledgable about what they were talking about. 
 The conversation was not very lighthearted as well, but also not serious. It was not lighthearted because all three of them did realize that climate change is a serious topic and therefore did not want to treat it as a joke. However, it was not super serious either because none of them were extremely knowledgeable about the topic, so therefore I do not think they truly realize just how harmful and vast climate change is. For example, when my mom asked about the ways in which she thinks population growth will affect her personally, she mentioned things like it being harder for her to travel or it affecting where she wants to live in her retirement. I realized that she doesn't see very much how population growth affects the environment and how it may affect the livelihood or her kids and grand kids. ","I think I would make it more interactive. For example, maybe the app could give me an option to to put what kind of response the person had to the question, which would maybe then lead the app to generating a follow-up question to the previous question. Sometimes I felt like it was hard to guide the conversation, and there were times when they gave very simple answers to the questions they were asked. I think the app would be stronger if it was better at telling you how you should get the conversation to go or if it suggested follow-up questions that you could ask. 
I also would change the app to make the questions even more thought-provoking, and would perhaps challenge a person with their own beliefs. I thought the questions were good, but did play it a little bit safe at times, and U think ultimately the app would be more meaningful and educational if the safe questions were mixed in with some more controversial ones. I think talking about controversial and more ""taboo"" topics about climate change would lead to more stimulating conversation, as long as people are able to listen to each other and respect each other's answers. Maybe you should even be able to choose the type of question you want to be asked -- there could be different ""levels"" of questions, with level 1 not being controversial and level 5 being very controversial. ",,"Yes - when I was done with the app it then told me it didn't save. Also, when I tried to play it at first it said internal error at first, but then it worked after I tried again. ",,1729860,"When my friend Amelie was asked if she or anyone she knew had ever experienced a damaging storm, she said that her uncle's house in Mexico had been extremely affected by the recent Tropical Storm Lidia. She said that the storm ""pounded Cabo"", and that the harsh winds blew everything away that could be blown away. Amelie's uncle's motorcycle was about a mile down the street and things like his tarp also flew away. I then asked Amelie if she thought that the storm was due to global warming, and she said she wasn't too sure. I was honest and said I wasn't exactly sure either. I talked about how having more water vapor in the atmosphere may had led to the storm being stronger than it otherwise would have been, but it is still hard to tell how much climate change actually contributed to the storm. Still, this question provoked a good conversation as Amelie got more of an explanation of how global warming may have played a role in the Cabo storm. 
Another question that led to a good conversation was when my mom was asked if she remembered the Montreal Protocol, which was enacted when my mom was 16. My mom said how she remembered her mom telling her that they would not be able to used a certain kind of hairspray anymore because it was bad for the environment. However, my mom never knew why the hairspray was actually bad for the environment until I explained it to her during our discussion. We began to talk about the ozone layer, and my mother was shocked to find out that the ozone hole is not even something we need to worry about anymore. She still thought that the whole in the ozone layer was a big threat and had not been solved yet. She was surprised and intrigued about the information I told her, and told me that she wished she paid more attention to the real reason she had to switch her hairspray when she was 16. 
My friend Harper was also asked if she thinks people everywhere should pay to pollute the air, and this question led to a conversation about carbon leakage. My friends and my mom were all really interested to learn about carbon leakage, and it opened their eyes and helped them realize how a country can be contributing to climate change, just in a place that is not in that country. All three of them agreed that countries should be held accountable for outsourcing their emissions to other countries. "
